Neuron,URL
ADAL,https://www.wormatlas.org/neurons/Individual%20Neurons/ADAframeset.html
ADAL,https://www.wormatlas.org/neurons/Individual%20Neurons/ADAframeset.html
ADAR,https://www.wormatlas.org/neurons/Individual%20Neurons/ADAframeset.html
ADEL,https://www.wormatlas.org/neurons/Individual%20Neurons/ADEframeset.html
ADER,https://www.wormatlas.org/neurons/Individual%20Neurons/ADEframeset.html
ADFL,https://www.wormatlas.org/neurons/Individual%20Neurons/ADFframeset.html
ADFR,https://www.wormatlas.org/neurons/Individual%20Neurons/ADFframeset.html
ADLL,https://www.wormatlas.org/neurons/Individual%20Neurons/ADLframeset.html
ADLR,https://www.wormatlas.org/neurons/Individual%20Neurons/ADLframeset.html
AFDL,https://www.wormatlas.org/neurons/Individual%20Neurons/AFDframeset.html
AFDR,https://www.wormatlas.org/neurons/Individual%20Neurons/AFDframeset.html
AIAL,https://www.wormatlas.org/neurons/Individual%20Neurons/AIAframeset.html
AIAR,https://www.wormatlas.org/neurons/Individual%20Neurons/AIAframeset.html
AIBL,https://www.wormatlas.org/neurons/Individual%20Neurons/AIBframeset.html
AIBR,https://www.wormatlas.org/neurons/Individual%20Neurons/AIBframeset.html
AIML,https://www.wormatlas.org/neurons/Individual%20Neurons/AIMframeset.html
AIMR,https://www.wormatlas.org/neurons/Individual%20Neurons/AIMframeset.html
AINL,https://www.wormatlas.org/neurons/Individual%20Neurons/AINframeset.html
AINR,https://www.wormatlas.org/neurons/Individual%20Neurons/AINframeset.html
AIYL,https://www.wormatlas.org/neurons/Individual%20Neurons/AIYframeset.html
AIYR,https://www.wormatlas.org/neurons/Individual%20Neurons/AIYframeset.html
AIZL,https://www.wormatlas.org/neurons/Individual%20Neurons/AIZframeset.html
AIZR,https://www.wormatlas.org/neurons/Individual%20Neurons/AIZframeset.html
ALA,https://www.wormatlas.org/neurons/Individual%20Neurons/ALAframeset.html
ALML,https://www.wormatlas.org/neurons/Individual%20Neurons/ALMframeset.html
ALMR,https://www.wormatlas.org/neurons/Individual%20Neurons/ALMframeset.html
ALNL,https://www.wormatlas.org/neurons/Individual%20Neurons/ALNframeset.html
ALNR,https://www.wormatlas.org/neurons/Individual%20Neurons/ALNframeset.html
AQR,https://www.wormatlas.org/neurons/Individual%20Neurons/AQRframeset.html
AS1,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS2,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS3,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS4,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS5,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS6,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS7,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS8,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS9,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS10,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
AS11,https://www.wormatlas.org/neurons/Individual%20Neurons/ASframeset.html
ASEL,https://www.wormatlas.org/neurons/Individual%20Neurons/ASEframeset.html
ASER,https://www.wormatlas.org/neurons/Individual%20Neurons/ASEframeset.html
ASGL,https://www.wormatlas.org/neurons/Individual%20Neurons/ASGframeset.html
ASGR,https://www.wormatlas.org/neurons/Individual%20Neurons/ASGframeset.html
